time,latitude,longitude,rf
2013-09-15T00:00:00,18.5,72.5,31.560612
2013-09-16T00:00:00,18.5,72.5,27.707546
2013-09-17T00:00:00,18.5,72.5,0.60105383
2013-09-18T00:00:00,18.5,72.5,5.304455
2013-09-19T00:00:00,18.5,72.5,36.898
2013-09-20T00:00:00,18.5,72.5,60.85206
2013-09-21T00:00:00,18.5,72.5,0.41951197
2013-09-22T00:00:00,18.5,72.5,0.31118926
2013-09-23T00:00:00,18.5,72.5,0.2938135
2013-09-24T00:00:00,18.5,72.5,8.240331
2013-09-25T00:00:00,18.5,72.5,8.488674
2013-09-26T00:00:00,18.5,72.5,7.5960026
2013-09-27T00:00:00,18.5,72.5,24.733757
2013-09-28T00:00:00,18.5,72.5,25.17217
2013-09-29T00:00:00,18.5,72.5,12.074344
2013-09-30T00:00:00,18.5,72.5,1.1220614
2014-06-01T00:00:00,18.5,72.5,0.0
2014-06-02T00:00:00,18.5,72.5,0.0
2014-06-03T00:00:00,18.5,72.5,0.0
2014-06-04T00:00:00,18.5,72.5,0.0
2014-06-05T00:00:00,18.5,72.5,0.0
2014-06-06T00:00:00,18.5,72.5,0.0
2014-06-07T00:00:00,18.5,72.5,0.0
2014-06-08T00:00:00,18.5,72.5,0.0
2014-06-09T00:00:00,18.5,72.5,0.0
2014-06-10T00:00:00,18.5,72.5,0.0
2014-06-11T00:00:00,18.5,72.5,0.0
2014-06-12T00:00:00,18.5,72.5,2.9200187
2014-06-13T00:00:00,18.5,72.5,5.672454
2014-06-14T00:00:00,18.5,72.5,6.1489916
2014-06-15T00:00:00,18.5,72.5,11.683935
2014-06-16T00:00:00,18.5,72.5,10.022953
2014-06-17T00:00:00,18.5,72.5,29.241074
2014-06-18T00:00:00,18.5,72.5,0.8694303
2014-06-19T00:00:00,18.5,72.5,1.4683325
2014-06-20T00:00:00,18.5,72.5,0.34423682
2014-06-21T00:00:00,18.5,72.5,1.2245684
2014-06-22T00:00:00,18.5,72.5,0.18965113
2014-06-23T00:00:00,18.5,72.5,0.26821238
2014-06-24T00:00:00,18.5,72.5,0.0
2014-06-25T00:00:00,18.5,72.5,0.0
2014-06-26T00:00:00,18.5,72.5,0.0
2014-06-27T00:00:00,18.5,72.5,0.0
2014-06-28T00:00:00,18.5,72.5,0.0
2014-06-29T00:00:00,18.5,72.5,0.0
2014-06-30T00:00:00,18.5,72.5,0.0
2014-07-01T00:00:00,18.5,72.5,0.7104628
2014-07-02T00:00:00,18.5,72.5,9.329181
2014-07-03T00:00:00,18.5,72.5,98.11057
2014-07-04T00:00:00,18.5,72.5,48.438217
2014-07-05T00:00:00,18.5,72.5,20.794842
2014-07-06T00:00:00,18.5,72.5,3.6546547
2014-07-07T00:00:00,18.5,72.5,1.3825434
2014-07-08T00:00:00,18.5,72.5,76.34859
2014-07-09T00:00:00,18.5,72.5,50.474194
2014-07-10T00:00:00,18.5,72.5,66.48139
2014-07-11T00:00:00,18.5,72.5,120.7852
2014-07-12T00:00:00,18.5,72.5,104.85187
2014-07-13T00:00:00,18.5,72.5,96.25992
2014-07-14T00:00:00,18.5,72.5,19.567076
2014-07-15T00:00:00,18.5,72.5,49.28143
2014-07-16T00:00:00,18.5,72.5,135.31798
2014-07-17T00:00:00,18.5,72.5,62.558292
2014-07-18T00:00:00,18.5,72.5,20.790989
2014-07-19T00:00:00,18.5,72.5,6.2544384
2014-07-20T00:00:00,18.5,72.5,12.365846
2014-07-21T00:00:00,18.5,72.5,20.601307
2014-07-22T00:00:00,18.5,72.5,6.459076
2014-07-23T00:00:00,18.5,72.5,19.377884
2014-07-24T00:00:00,18.5,72.5,12.322182
2014-07-25T00:00:00,18.5,72.5,5.694064
2014-07-26T00:00:00,18.5,72.5,5.0632024
2014-07-27T00:00:00,18.5,72.5,6.6450696
2014-07-28T00:00:00,18.5,72.5,73.21046
2014-07-29T00:00:00,18.5,72.5,35.162907
2014-07-30T00:00:00,18.5,72.5,78.45167
2014-07-31T00:00:00,18.5,72.5,0.0
2014-08-01T00:00:00,18.5,72.5,54.00784
2014-08-02T00:00:00,18.5,72.5,11.352729
2014-08-03T00:00:00,18.5,72.5,11.749163
2014-08-04T00:00:00,18.5,72.5,24.167448
2014-08-05T00:00:00,18.5,72.5,50.342243
2014-08-06T00:00:00,18.5,72.5,15.203951
2014-08-07T00:00:00,18.5,72.5,8.586494
2014-08-08T00:00:00,18.5,72.5,8.792104
2014-08-09T00:00:00,18.5,72.5,7.562511
2014-08-10T00:00:00,18.5,72.5,17.225107
2014-08-11T00:00:00,18.5,72.5,8.390709
2014-08-12T00:00:00,18.5,72.5,9.299127
2014-08-13T00:00:00,18.5,72.5,4.232569
2014-08-14T00:00:00,18.5,72.5,1.1218064
2014-08-15T00:00:00,18.5,72.5,15.443182
2014-08-16T00:00:00,18.5,72.5,3.8770196
2014-08-17T00:00:00,18.5,72.5,0.93966115
2014-08-18T00:00:00,18.5,72.5,3.983617
2014-08-19T00:00:00,18.5,72.5,13.765739
2014-08-20T00:00:00,18.5,72.5,1.00688
2014-08-21T00:00:00,18.5,72.5,39.683487
2014-08-22T00:00:00,18.5,72.5,1.2993019
2014-08-23T00:00:00,18.5,72.5,4.373504
2014-08-24T00:00:00,18.5,72.5,2.308948
2014-08-25T00:00:00,18.5,72.5,4.101817
2014-08-26T00:00:00,18.5,72.5,4.5436354
2014-08-27T00:00:00,18.5,72.5,17.732101
2014-08-28T00:00:00,18.5,72.5,17.763794
2014-08-29T00:00:00,18.5,72.5,24.691236
2014-08-30T00:00:00,18.5,72.5,6.32313
2014-08-31T00:00:00,18.5,72.5,0.0
2014-09-01T00:00:00,18.5,72.5,125.38257
2014-09-02T00:00:00,18.5,72.5,52.578606
2014-09-03T00:00:00,18.5,72.5,17.151386
2014-09-04T00:00:00,18.5,72.5,13.499267
2014-09-05T00:00:00,18.5,72.5,14.588783
2014-09-06T00:00:00,18.5,72.5,72.775696
2014-09-07T00:00:00,18.5,72.5,1.4736639
2014-09-08T00:00:00,18.5,72.5,0.65228367
2014-09-09T00:00:00,18.5,72.5,10.895057
2014-09-10T00:00:00,18.5,72.5,14.701624
2014-09-11T00:00:00,18.5,72.5,8.536826
2014-09-12T00:00:00,18.5,72.5,2.8463552
2014-09-13T00:00:00,18.5,72.5,1.1257459
2014-09-14T00:00:00,18.5,72.5,4.220237
2014-09-15T00:00:00,18.5,72.5,0.28418514
2014-09-16T00:00:00,18.5,72.5,0.7459859
2014-09-17T00:00:00,18.5,72.5,0.0
2014-09-18T00:00:00,18.5,72.5,2.3352249
2014-09-19T00:00:00,18.5,72.5,10.872679
2014-09-20T00:00:00,18.5,72.5,6.3726788
2014-09-21T00:00:00,18.5,72.5,8.186335
2014-09-22T00:00:00,18.5,72.5,0.5044793
2014-09-23T00:00:00,18.5,72.5,0.0
2014-09-24T00:00:00,18.5,72.5,0.0
2014-09-25T00:00:00,18.5,72.5,0.0
2014-09-26T00:00:00,18.5,72.5,5.909311
2014-09-27T00:00:00,18.5,72.5,6.534975
2014-09-28T00:00:00,18.5,72.5,0.0
2014-09-29T00:00:00,18.5,72.5,0.0
2014-09-30T00:00:00,18.5,72.5,0.0
2015-06-01T00:00:00,18.5,72.5,0.0
2015-06-02T00:00:00,18.5,72.5,0.0
2015-06-03T00:00:00,18.5,72.5,0.0
2015-06-04T00:00:00,18.5,72.5,0.0
2015-06-05T00:00:00,18.5,72.5,0.45757198
2015-06-06T00:00:00,18.5,72.5,0.0
2015-06-07T00:00:00,18.5,72.5,1.5673052
2015-06-08T00:00:00,18.5,72.5,1.3101273
2015-06-09T00:00:00,18.5,72.5,1.2760515
2015-06-10T00:00:00,18.5,72.5,2.8418512
2015-06-11T00:00:00,18.5,72.5,0.0
2015-06-12T00:00:00,18.5,72.5,36.52783
2015-06-13T00:00:00,18.5,72.5,9.991104
2015-06-14T00:00:00,18.5,72.5,29.584015
2015-06-15T00:00:00,18.5,72.5,73.97878
2015-06-16T00:00:00,18.5,72.5,23.968332
2015-06-17T00:00:00,18.5,72.5,59.698696
2015-06-18T00:00:00,18.5,72.5,41.15232
2015-06-19T00:00:00,18.5,72.5,189.90636
2015-06-20T00:00:00,18.5,72.5,116.929276
2015-06-21T00:00:00,18.5,72.5,85.63732
2015-06-22T00:00:00,18.5,72.5,86.742966
2015-06-23T00:00:00,18.5,72.5,62.722424
2015-06-24T00:00:00,18.5,72.5,37.559593
2015-06-25T00:00:00,18.5,72.5,7.8102713
2015-06-26T00:00:00,18.5,72.5,1.172002
2015-06-27T00:00:00,18.5,72.5,2.8491228
2015-06-28T00:00:00,18.5,72.5,0.0
2015-06-29T00:00:00,18.5,72.5,0.0
2015-06-30T00:00:00,18.5,72.5,5.255662
2015-07-01T00:00:00,18.5,72.5,1.3456529
2015-07-02T00:00:00,18.5,72.5,0.0
2015-07-03T00:00:00,18.5,72.5,0.0
2015-07-04T00:00:00,18.5,72.5,0.5752123
2015-07-05T00:00:00,18.5,72.5,0.0
2015-07-06T00:00:00,18.5,72.5,0.0
2015-07-07T00:00:00,18.5,72.5,0.4406564
2015-07-08T00:00:00,18.5,72.5,4.0384855
2015-07-09T00:00:00,18.5,72.5,21.243734
2015-07-10T00:00:00,18.5,72.5,1.9345763
2015-07-11T00:00:00,18.5,72.5,2.3702257
2015-07-12T00:00:00,18.5,72.5,1.8133042
2015-07-13T00:00:00,18.5,72.5,0.6371713
2015-07-14T00:00:00,18.5,72.5,1.2036159
2015-07-15T00:00:00,18.5,72.5,0.0
2015-07-16T00:00:00,18.5,72.5,2.5770128
2015-07-17T00:00:00,18.5,72.5,12.240703
2015-07-18T00:00:00,18.5,72.5,2.817098
2015-07-19T00:00:00,18.5,72.5,4.8012047
2015-07-20T00:00:00,18.5,72.5,2.738551
2015-07-21T00:00:00,18.5,72.5,15.885078
2015-07-22T00:00:00,18.5,72.5,38.799213
2015-07-23T00:00:00,18.5,72.5,31.798815
2015-07-24T00:00:00,18.5,72.5,24.681517
2015-07-25T00:00:00,18.5,72.5,20.52895
2015-07-26T00:00:00,18.5,72.5,5.1860714
2015-07-27T00:00:00,18.5,72.5,6.7441435
2015-07-28T00:00:00,18.5,72.5,26.811857
2015-07-29T00:00:00,18.5,72.5,30.919842
2015-07-30T00:00:00,18.5,72.5,41.88756
2015-07-31T00:00:00,18.5,72.5,0.0
2015-08-01T00:00:00,18.5,72.5,8.358801
2015-08-02T00:00:00,18.5,72.5,2.2538106
